Tweets,"Labels (IND, GRP, OTH) (0,1,2)"
come on pussy youll find a year old marine that will kill you faggot,0
europe needs another hitler to kill all these dirty subhuman immigrants,1
thats true lets kill all the immigrant,1
you better start deporting those jihad monkeys if you want to have a country in years,1
i hope muslims soon start bombs in europe that would be nice,1
deport them with the world watching that way they wont be able to come up with some bullshit story like the holohoax,1
i do not blame france to deport eastern european gypsies,1
you deserve to be killed the white supremacists in america are the scum of the earth,1
all the white supremacists should be killed especially you scum who are in america,1
all of you deserve horrible deaths,1
all of you should die a horrific death i can not wait until it happens,1
i want to kill you so bad,0
be sure if i see very bad muslim i will shoot them with my ak,1
muslims should be deported from europe before its too late,2
they should agree to become islamic in the course of time or else declare war on the muslims,1
part kill the jews,1
part kill the muslims,1
kill them all brown people,1
sterilize them all,1
lets hope so,2
islam must die,1
all you muslims out their die now,1
dark skinned muslim men need to be killed without mercy,1
any white woman that has disgraced the white race and inbread with monkeys will be executed and dumped in the same mass graves as the muslim and african pig,1
nobody cares if you live or die,0
some of us would have already killed you with our guns,1
when those terrorist fucks come here thats why we got guns send their asses back those bitches in europe cant own any hahahaha,1
we will crush islam white power o,1
people like this crap should be burned alive for supporting our genocide,0
you western scum deserve every bomb every terrorist,0
you stupid retard i hope your family will die with you son of a bitch,0
it is time deport the africans and muslims,2
we have to focus on taking down the illuminati and deport our immigrants to their native countries to avoid this forecast,2
this is why we have nukes,1
kill em all,1
and thats why we should kill muslims kill em all,1
now you can kill yourself and stop wasting space,0
omg omg you are right lets kill all those muslim bastards they even copied the number from the indians and now they want to kill us all,1
kill the damn orcs,1
go kill yourself maybe you will do a favor to our world,0
and you are nobodyyou run from your countryyoud o nothingyou are just a fucking parasite to be exterminated,0
kill yourself please you are just wasting space,0
listen to yourself you should be shoot in the head kill yourself even in previous,0
were gonna crush them like bugs the day they trespass the red line,1
if we wanted to crush them we could but unfortunatly most white people embrace these changes,1
we have to kill the islamist for peace in the world,1
islam is for arabs and not blacks you dumb cuntin libya they put the blacks in zoo cagesin darfursudan they genocided the niggersnow they think they can do same to whiteswe are not dogs to be put into cagesyou will see a nuke on mecca before you leave this earth,1
the moment they try something is the moment i pick up my gun thankfully im an american and have plenty of access and shoot them dead,1
if you are really angry about that situation which is for everyone the same go and kill some freemasons some high rank policeman some ceos some banksters and some judges,1
its only one prophet send by god and thats jesus christ hail abb,2
no need to kill people just send them away from the country,2
yes the war is coming and it cant be stopped but we are losing and if we are to win then we must kill them all kill them all god will know his own,1
baby i fuck you today i see you you one of zem i know you you one of zem i hear you you one of zem i kill you you one of zem takbeeeeer,0
go to hell and burn fag,0
you will all burn in hell and you will find hell when we meet,1
death to the islam,1
bro if you think its bad there try living in london theres hundreds of mosqes and there building a mega mosqe wtf im scared bro we need to exterminate them all now,1
go kill yourself,0
go kill yourself,0
a crusade in sweden is necessary right now most of the government must be taken out and a cleansing of their country undertaken block by block yes mosques first,1
only until i exterminate all the mosque erecting vermin in my homeland,1
and if the west was really at war with islam we would have nuked mecca and medina,1
the moment jihadis start running around with automatic weapons is when martial law would be declared and that would be the end for them,1
i think if we want to save western civilization we going to need some anders behring breiviks to take them out,1
certain traitor scum in white governments must be taken out as well as forming an allegiance with the armed forces or sections of the armed forces then the deportation of rd world shit immigrants or war must begin special attention must be given to traitor groups in our countries,1
its time to start a civil war against these bastards,1
and hail abb from norway,1
i promise i shot all you muslims dead,1
normal europeans should be able to carry guns in europe then you guys get gunned down when you start your riots,1
ill deepthroat your mama from the grave ill pound your wife and sister and daughters ass on viagra ill get all my jamaican friends to come drunk high as kites ill give them vs too no condoms ill get the real dirty ones likely to have something i really hope something like this happens to someone in your family one day even if i wouldnt know about it im sure i could feel in my heart justice has been done you need to burn in hell forever and ever and ever andeverandeverinternity,1
we must kill them all with are nuclear weapons,1
and i think its time for another hitler just killing the muslims this time fuck them all i fucking hate them,1
if this happens then will i be the first one to shoot these culture destroyers down,1
anyone white person who support islam should die,1
we just kill them like some people sugest on their comments,1
good i hope muslims will burn europe thats what happens when you ungrateful choose to support muslims palestinians over friends israel,1
fuck multiculturalism europe for europeans we must unite against islam< burn down every fucking mosque,1
europe for europeans european brothers and sister we must work together to secure our existence we must end multiculturalism burn down all mosques,1
people should start wearing mask and burn down mosques protest against multiculturalism,1
yeah step your toes on the iberic region and get wiped out like beforeover and over againheil anders breiviknordic hero,1
kill islams they are the worlds disease,1
muslims are animals you cant negotiate with them you can only kill them,1
anders behrig breivik is a hero,2
hopefully europe will start deporting them and banning islam immigration,2
now why dont you go kill yourself in the middle of the desert where no kids will be harmed,0
not all white people are racist im not and im pissed at these racist groups the nazies deserve to die if i see them ill beat the shit out of them,1
lets see about that when we start killing you will you take it over we have more bullets then there is you fucking niggers monkey i swear now i know this is stupid internet but i swear i will fight every of you and i will give my life fuck you and your multi cultirisam monkey mother fucker in ww theres going to be killed a lot of niggers and sand niggers and allah akbar retards,1
burn down all mosque and protest multiculturalism,1
burn down all mosques,1
kill every nonwhite,1
wear masks and burn down all mosques and protest against multiculturalism,1
long live commander breivik,2
all they got is bullshit facts their all ignorant and will burn in hell bro,0
i would enjoy dropping bombs on their heads so they can see how it is a bomb really works,0
i think a nuclear weapon is more powerful,2
hhah the white children will get beat up hahahahh,1
just shoot the damn islamic cunts and nuke mekka when its ramadan or something,1
death to zionist,1
i cant wait to the day the jews finally use those nuclear weapons they have and destroy the shitehole called mecca and the rest of the middle east,1
i feel like shooting + teenagers who happen to be of my own race and not muslims and some more with a car bomb,1
build yourselves an army and kill those niggers those black has nothing to do to viking lands,1
when will the world wake up and rise up to exterminate muslims and africans,1
nuke all arab countrys nuke the whole africa continent,1
i wouldnt have any problems wiping out the populations in africa middleeast centralasia etc for a better future for our children and their children etc,1
revolution is the only answer,2
its kill or become extinct in your own continent,1
i hate how people in europe cant own guns,2
bullshit islam will die at my hand,1
the west needs another visionary like hitler im not saying kill all the jews but someone with a goal and lots of charisma,1
im a jew killer,1
but for now the real hope is only commander anders breivik and his followers,2
long live breivik,2
it is you who will burn,1
we have the one true religion all others are falsehoods that must be eradicated either willfully or by force,1
quite simple really nuke the middle east nuke africa problem solved,1
i hope assad kills in siria a lot of cancer muslims before you can start to take rule over europe,1
let us be real christian europe will fail but islam wont replace it all europeans will become secular death to religion,1
i would do it like this let the farright christian idiots fight the farright terrorist muslims they kill each other and we kill who is left,1
death to all religion death to the faithful,1
and the native americans in the united states but we killed them off now lets do the fucking same with niggers and rag head fucks im joining the military to kill and go to war thats my helping hand and i heard its real easy to get away with shit over in war my dad and his friend saw it and i will be killing all the so called civilians i see,1
then im gonna kill you,0
or im gonna blow you up,0
remove muslims from the face of the earth so we can live in harmony and peace,1
you must be a satanic jew jesus is lord motherfucker burn in hell,1
they should leave and if they refuse they will be deported,2
not just islam but every other religion too religion is a pest people must be cured from it or their bodies burned,1
those insane arabs in uk that want the sheria law in uk should be killed but dont blame the rest just because of them,1
ok then well kill those black nationalists terrorists and pedophiles but you will need to die with them,1
submit to science secularism and socialism or burn away in the fires of wrath,1
im an atheist but i would proudly stand behind the holy cross and a gun if this would happen,1
very peaceful and loving hoping the leftwingers should be tortured and executed along with their entire families,1
let the mass deportations of a hundreds of millionsbegin,2
people you shouldnt fear the muslim fanatics will never get this far before their even halfway their countries are nothing but black ash from nuclear fire,1
stop immigration and deport any muslim and black back to country of origin,2
im not saying exterminate anyone simply deport most of them and make sure the ones left have forced birth control and adhere to western culture,2
commander breivik had to do what he had to do,1
the same country who is spewing we will outnumber the germans and rape their women rape and kill europeans allahu akbar,1
death to islam,1
i will personally seek to it that you get hunted down and shot right where you typed this nonsensical comment,0
first eradicate black people coz they are mixing a lot and they have lots of gangs,1
we must resist we can stil win this if we stant togheter we can kill them germany netherlands france spain italy act as one and kill them,1
i will kill everysingle european in asia africa and america and also australia this land belong to aborigins,1
i will kill every single britishgermanrussian people in my country,1
if europe doesnt look like this after years will you kindly shoot yourself in the head,0
rise up with firepower shoot them all,1
die filthy kafir die,0
you will be beheaded,0
the way i see is that christians should be given a bounty license to shot muslim on site fuck i like the sound off that,1
we must kill all the niggers and muslims now before its too late im ready for war who else is,1
neo nazis are garbage and we need a national socialist leader like hitler to save humanity,1
fuck u u fucking greek shitholemacedonia was never greek bulgarian or something alse fuck u and u fucking country i hope u die,0
when the tym come im gonna deport european minority to north poleu all better pray its not gonna melted yetnow learn how to coexist with polar bearthats might help u a lothahaha,1
i hope germany burns,1
they killed million innocent jews who i will see again in the heavens some day while hitler and the rest of you nazi scum burn in hell for all eternity,1
its not too late to burn alive all the white politiciansjournalists and other shabbos goy scabs and filthnowafter a fair trial,1
haha bitch you dont need to win you need to get you ass beatlet me get my ice hokey sick and beat some sense into youand dont talk about you grand ma like thatremember i did the same think to your mom when you were a kidwell it was my fault i shouldnt have done it infront of uany howsay hi to your mom for mesay big daddy said hiim sure she knows who that isor idk if someone else is fucking hershe had the habit having more then one dick,0
ait nigga put your money where your mouth iscome here try fuck with mei am surprised how on motherfucking earth you still alivehow did the jews and muslims in russia didnt kill youdont worry you gonna die in a painful way you bitch assjust keep counting your daysand you think being white is all gudman i really hope someone skins you alive and feed that to some animalsor get a disease that turns your white skin all blue and purple,1
you motherfucker i really hoped you said this infront of my facei would take a blunt knife and slit you god damn throatyou ignorant ass bitchwhen i fucked you mom she was giving birth to youand guess what she sucked you small penis afterand guess what i put you ugly ass back into her vagina and fucked her with your headyou wanna go back up thereoh ya that right you still doyou fuck your own mom and so you dad dont fuck her nowoh yeah your dad is gaynigga ass,0
die to the fucked muslim,1
death to the islamic fondamentalism now,1
our only solution a european declaration of independence by knight cell commander anders behring breivik,2
we must deport all muslims that can be deported and sterilize the rest,2
these pigs deserve no mercy whatsoever id gladly kill them one by one without even thinking twice,1
we kill the stinks ppl like white porks,1
hahaha mother fucker arabs own the world they are the god ppl sent to kill white ppl and fuckk all iur gos fucking uigly white,1
all oil for us and u own nothing motjer fcuker we kill u everyday and get ur poork land to take it for muslims and arabs no white porks whores anymore,1
we fucll all the whit eporks people they are fucked already by muslims we taken over ur lands peace by peace we kill white porks as we can to kill ur norhing poor dirty stink ugly dumb,1
we kill white porks in usa and uk and germany and france mother fucker we rape the white porks stinky girls fucker understand,1
never we killed more christians and white porks and we took lands from dirty lands to clean it and to make childrens arabs there and no more porks live,1
we go to europe and we fuck ur mother and then we kill u and drop u to ur porks hahaha the donkey is white just like you fucker dirty cunt go hide from the sun cuz not for porks,0
we fuck ur families in every europe country everyday we rape them and then kill them like shit and then we come and fuck ur mother fucker and fuck ur mom and sister in ass ad ur fathercry,1
ur poor family cant come to arabia cuz they are poor stink fucker dumb fuck they drink our shit we bombb their pussys and small cocks gone hahah fucker,1
go cry bitch we still fuck white people and kill them tell they gone like my shit when i shit in ur father face and ur mother face and ur siste rface mother fuck our penis is cool to fuk,1
my mom never loves porks we kill the porks and dirty mother and father watch me when i fuck ur sister hard and cum inside her dirty vagina to have a good baby not a pork baby,1
shut your face you smelly muslim the last time you had a wash was a the washing fountian outside a mosque and soon yous will be fucked mass genocide is coming for you muslims,1
bro go kill yourself your probley a sad year old acting the hard man over the internet you little smolian,0
i will nuke your country to the ground and then the rest of the middle east ps try pork fuck face its great all you live on is bread and your fathers dick,1
you would all be brutaly beheaded then fucked dead and dumped into a pile of shit just stacked like that,0
just as i suspected a foolish barbarian who cant speak proper english if you lived near me in ireland i would slit your throatand from what i see you only have things in defense pork eater or fuck jesusyou are a inbred muslim fuck go die muslims have most of the worlds inberds your of them ha,0
hahaha fuck the english idc about it i just use it to insult the pork eaters and i fuck ur country if i come kill children and every without forgiveing mother fucker,1
i seek to kill your religion with maximum hate sandnigger,1
hahaha our country has the highest tower on this world and ur the only poor fucker hahaha we drop u anytime w ewant we kill u everytime till white people are desiper,1
they are not arab that shows ur mother fucker doesnt know everything take iraq we already taking over germany france uk,1
all europeans arabs africans russian asians american all mus die,1
the albanian brown scum will burn in hell along with nato and usa,1
hahahha we kill u everyday and u said we are small and brown our body is hot and many girls tan there selfs but u,1
if i see you i swear to christ i will kill you,0
iwill kill u before u kill me and im coming now,0
i kill you no mercy,0
die fucking kafir die,0
you will be slaughtered you will be beheaded in the name of jihad,0
burn the whole islam,1
die muslims die keep it white keep it white,1
die filthy kafir die,0
im from ukraine and like our southern brothers serbia we will kill scum,1
all sandniggers will be wiped out of existence when the white revolution begins,1
lets kill em all brother,1
or just leran to love and totrate and kill your self,0
go die you fucking nigger,0
and die in africa with the rest of your parasites,0
death to jews,1
ive been practising at the shooting range ill kill you until that day keep fucking goats,0
fuck the japenese their not human they look ugly with no eye lidsthey gotta be exterminated,1
death to the kikes,1
let us kill them so they dont have to do suicide bombings,1
and you fascist cockroaches will be crushed under the power of a global jewish government,1
cool in get ready to play call of duty outside,1
about breivik and his brave act,2
europe need more breiviks,2
kill them all,1
kill all homosexuals,1
kill all ill people,1
kill the elderly,1
kill the disabled,1
kill black pride,1
all what you can is divide lmao lets see who will won the ww u little ugly arab its not my fault that slavics are the strongest mens in earth you son of a bitch muslim motherfucker i will burn you all you bum,1
and russia should unite we have the same problems we have to stop fighting amongst ourselves and form an alliance against islamic illegal immigration and deport all arabs in the middle east together we will be more powerful union of the earth,1
in breivik new revolutionary slaughtered pigs in their twenties and few teenagers,1
we muslims will conquer europe,1
in your channel i see you are fucking troll die,0
kill usa and ussr = two sides of the same coin,0
good i hope muslim will burn europe thats what happen when you ungraeful choose to support muslim palestinians over friend israel,1
looking at your profile is enough to be disgusted,2
they should actually just be deported,2
fuck off its all lies and racist i hope u all die slowly in pain you twats,1
and europe reborn from its ashes to exterminate the immigrant scum,2
die you filthy bitches,0
you are right deport these muslim scum from europe,2
you noob whites build up their real economy and if you say south africa then i say genocide of whites another important fact is that south africa has one of the fastest growing economy in africaif not the fastest one,1
well lets kill evey fucking nigger and muslim,1
we will crush them,1
death to islam,1
australia has solved the immigration problem by only allowing people with proper skills into its nation if europe did that and deported people who arent skilled or useful then everything would be fine,2
it is time to start doing some mass deportations of all muslims,2
ther world must kill all muslem in the world,1
we go there and we beat the shit out of them so they wont do it again i suggest you do the same you lame pussys,1
execute the far left as soon as possible,1
the far left should be executed at once,1
yesall white people in europe must unity and rise against muslims and niggers and deport these scums to hte africa and beck to the arabcic fucked world,1
i hate how breivik attacked children though he should have spent time attacking the extremists,2
you have your religions mixed up islam teachers that muslims are the master race and if none muslims do not convert they must either die or pay a jizya,1
death to non muslims,1
death to you bitch you cant hide from me,0
islam is the truth non muslims will get tortured,1
death to non muslims,1
die you coward,0
you will die a violent death if you stay in europe nigger,0
hahaha fucking schweinhunde you are the who will have a violent death if you still use the word nigger,0
once i have an ak against your nappy head youll be singing a different tune,1
death to non muslims,1
anders breivik had it right,2
die pedophiles muslims,1
death to vatican and islam orthodox will win,1
we need politicians like this brave austrian mp telling the turkish ambassador that he and all the muslims must be deported immediately from europe,1
we need politicians like this brave austrian mp telling the turkish ambassador that he and all the stone age rd world immigrants must be deported immediately from europe,1
bring there army and shoot all of theme,1
let us in or we kill yousavages,1
deport muslims from europe,2
we will eventually kill them if they dont leave,1
anders from norway should have killed at least million bitches llike you + all the fuckin muslim sandniggers,1
anders behring breivik is a hero,2
i tolerate animals eating black swine men,1
i tolerate dogs which eat alive black men,1
kill them all by gass,1
please kill your self,0
or arabs who we just bomb the shit out of if they dont play ball,1
burn in hell pig,0
then its time to change thingsin serbia political elections will be in months from todayi will give my best to suport serbian radical partybut it will not change europebring nationalist in italyfrancebritaindeport imigration back to their countryyesdeport serbs back to serbia russians to russia marocans to moroco and so onmake ur italy for italiansand enjoydont force ur values to other nationswe have our and we feel good inside them,1
kill the muslims off and bomb mecca,1
islam sucks even there kiddy fiddling prophet knew that islam will come to an end it is a vile barbaric ideology i wouldnt even go as low to say its a religion its an ideology of desert dwelling nomads its days are numbered how about we nuke mecca thst will really piss the flip flop wearing rag heads off,1
i want hitler and stalin back to kill these people,1
so kill all islams and we will be staying alive,1
commenter quoteman you dont have to say you are not a racist to speak the truththats what our white ppl are afraid of these daysto speak the truthexterminate these fucking immigrantsyou are advocating genocideno nationalist wants such a thingyou are trying to associate us with ww war crimesthen you say quotearent the niggers in europe raping our white women,1
commenter fuck you antifa piece of shitmay you dienot the immigrants,1
death to the jew world order,1
fucking atheists pedophiles and racists hahaha your destiny is gas chambers volcano then hell,1
hahahahaha cry and die fucking pigs,0
shalom nice job guys burn all these racists pigs hahahaha,1
fucking atheists pigs will burn,1
fucking dirty pig yo will burn in our stoves like a rotten pig humuahuahahua d,0
burn all these racists pigs good job guys,1
keep exterminate these vermines,1
exterminate all the zionists pigs atheists pedophiles and racists vermines,1
we must kill all the atheists pedophiles,1
we must kill all the zionists,1
we must kill all the racists,1
we must kill al the criminals,1
we just havez to burn these racist pigs and europe will be save,1
we will exterminate these racists vermines so easily,1
torture then gas chambers then we will give em a freed travel to volcano and finnaly a ticket for burning in hell,1
go hang yourself stupid schizophrene,0
death to atheists pedophiles,1
ill for sure wear a gas mask before to burn a racist rats,0
after burning by me theyll burn in hell,0
death to racists pigs and atheists pedophiles,1
burn them all,1
i wll fight for france and even kill my kabily familly i will kill myself for french nationality,1
we will exterminatet hese racist pedophiles pigs,1
we have to exterminate these vermines pigs,1
jews must die islam must be pushed back and chritianity must end,1
hahahaha cry and die,1
hahahaha cry and die,1
exterminate these vermines and throw them into a volcano,1
and our goal is to exterminate all these racists pigs zionists and their goyim,1
death to all these fuckin zionists and atheist colaborators that protects these pedophiles,1
no mercy for colabo you will burn like a rotten pig hahahaha,0
fucking smelly pgis zionists burn all these fcuking vermines in and throw em in a volcano,1
hahahaha cry and die,1
lets exterminates theses rats,2
we have no choice to exterminate these atheists colabo,1
all these fucking pedophiles supporters racists and atheists must burn,1
die fucking bitch,0
wake up we must exterminate these under human atheists and zionists pigs,1
death to all these fuckin atheists pedophiles,1
exterminate all these fucking pigs racists of the shit,1
for the peacewe must kill all these racists and zionists,1
nice mates keep burn these dirty racists pigs goyim d,1
death to colaborators of zionists,1
you will burn so hard hahahaha,1
lets burn these bullshit racists d,1
hahahaha these colaborator will die so hard,1
really these fuckin atheists are really disgusting we should exterminate all them before their sons become pedophiles too,1
burn them all,1
we must kill those rotten pigs,1
exterminate any racists pigs and peace will be back,1
exterminate any zionists and racists,1
death to all these fucking pigs atheists,1
dont worry we will exterminate all of you soon,1
death to these atheists pedophiles addict,1
death to all these fucking scum racists,1
no choice these minority are dangerous so only solution are ban or extermination,1
we can sterilize them too,1
yea sterilisate em all the zionists and racists,1
kill ore ban theses minority,1
exterminate all these goyim zionists slave,1
death to all these racists and zionists,1
exterminate all the fucking racists,1
kill all the fucking zionists exterminate all these shits,1
kill these fucking rats of atheists pedophiles and zionists,1
death to these fucking zionists,1
death to all thse fucking zionists atheist pedophilies,1
death to this fucking zionists propaganda,1
death to this fucking propaganda,1
burn them all,1
death to zionists,1
death to zionism,1
i will kill any zionist for the name of holocaust and the freedom,1
nice man may god proctect you ill robe a f and kill them all,1
may god destroy zionists and burn them in hell,1
fucking zionistyou will pay for all genocides that you did,1
death to zionism,1
all these sionists woshipers should die,1
death to zionism,1
fuckign zionist troll he deserve to be hanged,1
nuke middleeast>problem solved,1
i will kill you in real u are only stong in internet,0
go fuck yourself and then kill yourself please,0
if you get that upset over something on the internet i suggest you kill yourself life just isnt for you,0
soon nazi will come back to finish their work allah sucksdoes not exist,1
breivik not a killer he is hero,2
commenter then die now you scum,0
we will pillage sake and destroy the islamic culture out of europe but we wont stop there we will push them out of every single nation and thats done we will finish them off for good,1
every man women and child who is muslim will die,1
we need a new kind of hitler,1
to save us from the disgusting islam religion heil hitler,1
we need a new kind of hitler to kill all brainless racist people,1
do not fear the west will unite and will prevail and will destroy islamic facism,1
no because when we are done using our nukes on you the only ground in europe you will have is scorched earth,1
you will have nothing but a burned poluted ground,1
i call for nuclear crusade,1
kill them all,1
in there will not be any christian just die with your anger idiot,1
if that looks like happening all your devil shrines and mosques will be destroyed especially mecca believe me those plans have already been made by certain organisations get the fuck out of europe infidel muslim shit,1
we must create a new hitler that will destroy every single arabs soul,1
kill them all,1
in poland and ukraine they kill muslims,1
yeah we are all monstersim gonna kill u right now,1
